Id,Speed (km/h),Position,Distance
3.0,10.8,82.0,3.0
26.0,25.2,116.0,7.0
1.0,50.4,105.0,14.0
21.0,7.2,72.0,2.0
29.0,7.2,82.0,2.0
3.0,7.2,83.0,2.0
26.0,25.2,116.0,7.0
1.0,28.8,99.0,8.0
21.0,0.0,72.0,0.0
29.0,7.2,82.0,2.0
3.0,3.6,83.0,1.0
26.0,25.2,116.0,7.0
1.0,25.2,98.0,7.0
21.0,39.6,72.0,11.0
29.0,7.2,82.0,2.0
3.0,3.6,83.0,1.0
26.0,25.2,115.0,7.0
1.0,21.6,97.0,6.0
21.0,10.8,72.0,3.0
29.0,3.6,83.0,1.0
3.0,0.0,84.0,0.0
26.0,21.6,115.0,6.0
1.0,18.0,96.0,5.0
21.0,0.0,72.0,0.0
29.0,0.0,84.0,0.0
3.0,3.6,84.0,1.0
26.0,18.0,114.0,5.0
1.0,7.2,96.0,2.0
21.0,10.8,72.0,3.0
29.0,0.0,82.0,0.0
3.0,7.2,85.0,2.0
26.0,18.0,114.0,5.0
1.0,3.6,96.0,1.0
21.0,14.4,72.0,4.0
29.0,3.6,81.0,1.0
3.0,3.6,85.0,1.0
26.0,18.0,114.0,5.0
1.0,0.0,95.0,0.0
21.0,14.4,72.0,4.0
29.0,10.8,80.0,3.0
3.0,7.2,85.0,2.0
26.0,10.8,113.0,3.0
1.0,7.2,97.0,2.0
21.0,10.8,73.0,3.0
29.0,18.0,81.0,5.0
16.0,3.6,71.0,1.0
3.0,3.6,85.0,1.0
26.0,7.2,113.0,2.0
1.0,7.2,97.0,2.0
21.0,0.0,73.0,0.0
29.0,25.2,82.0,7.0
3.0,3.6,85.0,1.0
26.0,7.2,114.0,2.0
1.0,3.6,95.0,1.0
21.0,0.0,73.0,0.0
29.0,21.6,81.0,6.0
3.0,3.6,85.0,1.0
26.0,7.2,114.0,2.0
1.0,25.2,94.0,7.0
21.0,0.0,73.0,0.0
29.0,18.0,81.0,5.0
3.0,7.2,85.0,2.0
1.0,32.4,96.0,9.0
21.0,7.2,73.0,2.0
29.0,18.0,80.0,5.0
3.0,3.6,85.0,1.0
1.0,25.2,99.0,7.0
21.0,3.6,73.0,1.0
29.0,7.2,80.0,2.0
26.0,7.2,115.0,2.0
3.0,10.8,86.0,3.0
1.0,25.2,99.0,7.0
21.0,0.0,72.0,0.0
29.0,3.6,80.0,1.0
26.0,10.8,116.0,3.0
3.0,14.4,86.0,4.0
1.0,25.2,99.0,7.0
21.0,7.2,71.0,2.0
29.0,7.2,81.0,2.0
26.0,0.0,113.0,0.0
3.0,21.6,87.0,6.0
1.0,18.0,100.0,5.0
21.0,10.8,71.0,3.0
29.0,10.8,83.0,3.0
26.0,14.4,109.0,4.0
3.0,28.8,88.0,8.0
1.0,3.6,100.0,1.0
21.0,3.6,71.0,1.0
29.0,21.6,86.0,6.0
26.0,25.2,106.0,7.0
3.0,32.4,88.0,9.0
1.0,10.8,100.0,3.0
21.0,3.6,71.0,1.0
29.0,18.0,85.0,5.0
26.0,28.8,105.0,8.0
3.0,32.4,89.0,9.0
1.0,21.6,100.0,6.0
21.0,3.6,71.0,1.0
29.0,21.6,86.0,6.0
26.0,28.8,105.0,8.0
